Month,Period,2003,2004
Jan,1,0.0933,0.097
,2,0.0945,0.0961
,3,0.0954,0.0954
Feb,4,0.0966,0.0951
,5,0.0963,0.0943
,6,0.0954,0.0952
Mar,7,0.0954,0.0965
,8,0.0959,0.0982
,9,0.0958,0.0982
Apr,10,0.0963,0.0959
,11,0.097,0.097
,12,0.0972,0.0973
May,13,0.0971,0.0971
,14,0.0968,0.0955
,15,0.0976,0.095
Jun,16,0.0965,0.095
,17,0.0951,0.0956
,18,0.0953,0.0966
Jul,19,0.0956,0.097
,20,0.0958,0.0982
,21,0.0977,0.0979
Aug,22,0.0978,0.0985
,23,0.0977,0.0979
,24,0.095,0.0977
Sep,25,0.0965,0.0954
,26,0.0958,0.0965
,27,0.0962,0.0966
Oct,28,0.0951,0.0971
,29,0.0958,0.0959
,30,0.0956,0.0958
Nov,31,0.0945,0.0945
,32,0.0931,0.0933
,33,0.0919,0.0924
Dec,34,0.0925,0.0928
,35,0.0945,0.0908
,36,0.0967,0.0916
