Month,Period,2003-2004,2004-2005
Oct,28,51.7137,51.4355
,29,48.5119,48.2169
,30,47.1946,43.7535
Nov,31,44.0488,40.9382
,32,37.5031,40.7668
,33,34.093,34.1968
Dec,34,33.4776,32.3053
,35,34.756,31.3149
,36,32.4659,32.0723
Jan,1,31.0539,30.8444
,2,31.462,30.6891
,3,33.7799,31.8499
Feb,4,35.1817,35.4933
,5,35.6004,37.2038
,6,40.3834,41.5378
Mar,7,45.7452,43.9065
,8,44.3427,43.5861
,9,43.365,46.0479
Apr,10,45.0609,47.9474
,11,46.3915,46.5884
,12,48.1663,46.1667
May,13,53.2372,49.6762
,14,53.1832,50.9254
,15,55.886,53.7985
Jun,16,56.8216,53.5723
,17,57.2822,55.6827
,18,54.8239,54.3082
Jul,19,59.331,55.6289
,20,56.1731,55.8011
,21,56.8645,56.9304
Aug,22,56.9572,56.379
,23,57.8666,57.4227
,24,57.6541,55.1404
Sep,25,56.1172,55.8777
,26,55.7898,55.7436
,27,53.411,54.7799
